LFO,YEAR,PAYQTR1,EMP,ESTAB,PAYANN,EMPSZES,state
001,2014,31662865,2566086,147483,126186474,001,27
001,2014,1118958,127316,79427,5868624,212,27
001,2014,1478453,174933,26098,6470272,220,27
001,2014,2246196,267067,19804,9673707,230,27
001,2014,3924286,405835,13460,16427291,241,27
001,2014,3507347,321180,4658,14264762,242,27
001,2014,4977775,428741,2837,20050048,251,27
001,2014,3596284,260158,763,13997798,252,27
001,2014,3223242,184782,267,12103101,254,27
001,2014,7590324,396074,169,27330871,260,27
910,2014,17072934,1039568,32649,64348461,001,27
910,2014,310706,21661,11775,1416860,212,27
910,2014,493964,45122,6658,2076212,220,27
910,2014,850177,83807,6182,3576886,230,27
910,2014,1650420,132119,4409,6660292,241,27
910,2014,1631031,118499,1695,6492248,242,27
910,2014,2753267,196358,1278,10958011,251,27
910,2014,2343596,140254,411,8708213,252,27
910,2014,2190980,107666,155,8121736,254,27
910,2014,4848793,194082,86,16338003,260,27
9111,2014,6610063,754256,71676,29638285,001,27
9111,2014,542171,64941,42622,3082105,212,27
9111,2014,671043,81618,12230,3077135,220,27
9111,2014,910872,115611,8580,4091066,230,27
9111,2014,1424456,169148,5635,6329745,241,27
9111,2014,1035869,111478,1640,4494993,242,27
9111,2014,1081166,116337,783,4606304,251,27
9111,2014,438772,46355,136,1892022,252,27
9111,2014,248399,25070,37,987061,254,27
9111,2014,257315,23698,13,1077854,260,27
920,2014,612764,80498,15086,2603963,001,27
920,2014,81852,16810,12000,442320,212,27
920,2014,60130,11986,1853,256007,220,27
920,2014,45565,9523,729,194226,230,27
920,2014,61464,9008,299,244337,241,27
920,2014,70282,8820,126,251700,242,27
920,2014,85378,9621,60,332853,251,27
920,2014,49304,4413,14,202352,252,27
920,2014,0,0,1,0,254,27
920,2014,156241,9624,4,669613,260,27
930,2014,2199300,198337,12561,8839490,001,27
930,2014,99546,10642,6543,545647,212,27
930,2014,114740,14201,2147,493849,220,27
930,2014,190222,22273,1653,781694,230,27
930,2014,368201,42712,1381,1456987,241,27
930,2014,388789,36535,539,1466766,242,27
930,2014,438091,32672,228,1616320,251,27
930,2014,277132,18246,52,1197279,252,27
930,2014,181369,8377,13,715873,254,27
930,2014,141210,12679,5,565075,260,27
932,2014,4446995,437402,14329,18044290,001,27
932,2014,73647,12653,6206,325099,212,27
932,2014,121386,19875,2906,493594,220,27
932,2014,215899,32136,2385,886271,230,27
932,2014,367003,47598,1565,1505511,241,27
932,2014,515787,36422,53,1958493,254,27
932,2014,329110,41665,600,1344542,242,27
932,2014,520340,64218,430,2122618,251,27
932,2014,418804,44359,133,1721664,252,27
932,2014,1885019,138476,51,7686498,260,27
933,2014,301914,30738,273,1203289,001,27
933,2014,390,0,23,1778,212,27
933,2014,3065,734,104,12622,220,27
933,2014,4001,1018,79,16615,230,27
933,2014,2328,416,15,10251,241,27
933,2014,0,0,1,0,242,27
933,2014,42565,4631,27,178988,251,27
933,2014,33216,3887,10,133119,252,27
933,2014,47384,5163,6,191835,254,27
933,2014,168784,14755,8,657350,260,27
942,2014,418895,25287,909,1508696,001,27
942,2014,10646,536,258,54815,212,27
942,2014,14125,1397,200,60853,220,27
942,2014,29460,2699,196,126949,230,27
942,2014,50414,4834,156,220168,241,27
942,2014,52085,4122,57,213782,242,27
942,2014,56968,4904,31,234954,251,27
942,2014,0,0,7,0,252,27
942,2014,0,0,2,0,254,27
942,2014,0,0,2,0,260,27
001,2014,830947,109717,8179,3463150,230,28
001,2014,7984211,912014,58541,32776761,001,28
001,2014,427047,56106,29502,1992117,212,28
001,2014,608157,83459,12669,2533569,220,28
001,2014,1241327,158234,5279,5169215,241,28
001,2014,934511,115027,1676,3818328,242,28
001,2014,1144317,125209,837,4611393,251,28
001,2014,858856,89004,258,3422037,252,28
001,2014,601103,58396,83,2376687,254,28
001,2014,1337946,116862,58,5390265,260,28
910,2014,384488,44289,3301,1570902,230,28
910,2014,4132523,411124,17207,16638955,001,28
910,2014,132019,12133,5911,578505,212,28
910,2014,253346,29866,4509,1033857,220,28
910,2014,603958,64237,2147,2489016,241,28
910,2014,463865,46420,672,1881699,242,28
910,2014,674298,65858,421,2673389,251,28
910,2014,590204,59573,167,2337436,252,28
910,2014,406337,35107,51,1594497,254,28
910,2014,624008,53641,28,2479654,260,28
9111,2014,1601385,218137,19801,6879986,001,28
9111,2014,157462,19543,10513,772362,212,28
9111,2014,205957,28039,4226,886265,220,28
9111,2014,256606,36025,2682,1113065,230,28
9111,2014,358629,49457,1654,1543460,241,28
9111,2014,235605,33289,491,972997,242,28
9111,2014,198058,25759,183,836451,251,28
9111,2014,93235,11888,37,390779,252,28
9111,2014,48841,6911,10,175009,254,28
9111,2014,46992,7226,5,189598,260,28
920,2014,246067,41443,8102,1030761,001,28
920,2014,52091,10813,6105,237669,212,28
920,2014,38939,8003,1257,162601,220,28
920,2014,31259,6317,486,133862,230,28
920,2014,28749,5066,173,120048,241,28
920,2014,25594,3998,58,101541,242,28
920,2014,23671,2380,15,97873,251,28
930,2014,736579,105684,7263,3049302,001,28
920,2014,6577,1178,4,30577,252,28
920,2014,0,0,3,0,254,28
920,2014,0,0,1,0,260,28
930,2014,47158,6842,3719,243076,212,28
930,2014,61128,8993,1357,253141,220,28
930,2014,93912,13397,996,388473,230,28
930,2014,153042,23682,773,625911,241,28
930,2014,107174,17801,257,440802,242,28
930,2014,138101,18105,131,563674,251,28
930,2014,62329,7483,22,258755,252,28
930,2014,0,0,4,0,254,28
930,2014,51244,6501,4,178278,260,28
932,2014,758876,95927,6004,3084867,001,28
932,2014,36764,6681,3207,155040,212,28
932,2014,47354,8403,1297,192252,220,28
932,2014,61145,9336,688,242875,230,28
932,2014,93770,15360,519,376479,241,28
932,2014,96135,12870,188,395201,242,28
932,2014,86963,10434,69,347862,251,28
932,2014,64126,4783,16,239569,252,28
932,2014,61315,8412,11,255357,254,28
932,2014,211304,19648,9,880232,260,28
933,2014,451672,34435,39,1862318,001,28
933,2014,0,0,1,0,212,28
933,2014,0,0,0,0,220,28
933,2014,0,0,0,0,230,28
933,2014,0,0,1,0,241,28
933,2014,0,0,4,0,254,28
933,2014,0,0,2,0,242,28
933,2014,16404,1688,10,62903,251,28
933,2014,36910,3735,11,144178,252,28
933,2014,359139,25904,10,1487947,260,28
942,2014,57109,5264,125,230572,001,28
