LFO,YEAR,PAYQTR1,EMP,GEO_ID,ESTAB,PAYANN,EMPSZES,state
001,2015,33372240,2612314,0400000US27,148666,133092716,001,27
001,2015,1171146,125711,0400000US27,79797,6231809,212,27
001,2015,1546603,176090,0400000US27,26348,6753842,220,27
001,2015,2345070,266924,0400000US27,19740,10169131,230,27
001,2015,4056106,417395,0400000US27,13847,17229901,241,27
001,2015,3761908,334093,0400000US27,4828,15465786,242,27
001,2015,5224303,434567,0400000US27,2870,20975558,251,27
001,2015,3698595,268894,0400000US27,789,14516760,252,27
001,2015,3434768,191580,0400000US27,278,12798040,254,27
001,2015,8133741,397060,0400000US27,169,28951889,260,27
910,2015,17763927,1051186,0400000US27,32440,66712988,001,27
910,2015,321998,20984,0400000US27,11575,1549403,212,27
910,2015,519572,45054,0400000US27,6671,2163832,220,27
910,2015,887875,82872,0400000US27,6106,3709783,230,27
910,2015,1661200,135107,0400000US27,4468,6819014,241,27
910,2015,1690972,119529,0400000US27,1693,6816277,242,27
910,2015,2867399,196354,0400000US27,1266,11214355,251,27
910,2015,2297477,140434,0400000US27,413,8586619,252,27
910,2015,2431466,112799,0400000US27,161,8787642,254,27
910,2015,5085968,198053,0400000US27,87,17066063,260,27
9111,2015,7047827,772813,0400000US27,72889,31725439,001,27
9111,2015,570862,65007,0400000US27,43440,3245666,212,27
9111,2015,689020,81756,0400000US27,12282,3167090,220,27
9111,2015,957449,116428,0400000US27,8621,4373716,230,27
9111,2015,1491387,173103,0400000US27,5805,6695195,241,27
9111,2015,1125078,117936,0400000US27,1735,4930016,242,27
9111,2015,1149058,118584,0400000US27,801,4881851,251,27
9111,2015,512127,52720,0400000US27,153,2243503,252,27
9111,2015,310323,26172,0400000US27,40,1217165,254,27
9111,2015,242523,21107,0400000US27,12,971237,260,27
920,2015,659657,78938,0400000US27,14935,2784400,001,27
920,2015,84879,16297,0400000US27,11858,471744,212,27
920,2015,61099,11362,0400000US27,1768,262831,220,27
920,2015,48353,9564,0400000US27,741,208462,230,27
920,2015,72358,10240,0400000US27,346,293961,241,27
920,2015,72606,9204,0400000US27,133,294092,242,27
920,2015,95383,10156,0400000US27,64,390475,251,27
920,2015,46263,4978,0400000US27,17,181013,252,27
920,2015,34022,3075,0400000US27,5,108267,254,27
920,2015,0,0,0400000US27,3,0,260,27
930,2015,2314816,202514,0400000US27,12714,9409918,001,27
930,2015,105696,10470,0400000US27,6475,580234,212,27
930,2015,129457,15149,0400000US27,2255,541839,220,27
930,2015,197366,22844,0400000US27,1679,812222,230,27
930,2015,390549,44726,0400000US27,1445,1582132,241,27
930,2015,425222,37373,0400000US27,549,1594432,242,27
930,2015,449047,33669,0400000US27,238,1753770,251,27
930,2015,270188,16464,0400000US27,48,1128792,252,27
930,2015,209533,12303,0400000US27,20,871653,254,27
930,2015,137758,9516,0400000US27,5,544844,260,27
932,2015,4857289,450549,0400000US27,14502,19685837,001,27
932,2015,76153,12384,0400000US27,6196,338496,212,27
932,2015,128275,20514,0400000US27,3055,529771,220,27
932,2015,220273,31407,0400000US27,2315,915633,230,27
932,2015,388760,49037,0400000US27,1610,1612511,241,27
932,2015,386245,45206,0400000US27,649,1595002,242,27
932,2015,557441,66520,0400000US27,442,2301979,251,27
932,2015,496324,46904,0400000US27,138,2054349,252,27
932,2015,386758,31406,0400000US27,45,1554348,254,27
932,2015,2217060,147171,0400000US27,52,8783748,260,27
933,2015,305569,30180,0400000US27,271,1234016,001,27
933,2015,398,72,0400000US27,22,1753,212,27
933,2015,3126,727,0400000US27,105,13017,220,27
933,2015,3865,992,0400000US27,77,16038,230,27
933,2015,2809,467,0400000US27,17,12226,241,27
