LFO,YEAR,PAYQTR1,EMP,ESTAB,PAYANN,EMPSZES,state
001,2019,484771,51948,766,2024180,242,30
001,2019,541028,45071,309,2209499,251,30
001,2019,395356,25268,78,1466377,252,30
001,2019,108722,7411,12,433255,254,30
001,2019,302248,21814,12,1204651,260,30
9101,2019,1442355,108388,6252,5685979,001,30
9101,2019,71338,4928,2733,309468,210,30
9101,2019,107161,8803,1309,438336,220,30
9101,2019,176503,13816,1021,723918,230,30
9101,2019,266363,21929,740,1067668,241,30
9101,2019,228619,18744,271,905679,242,30
9101,2019,266936,19203,130,1053449,251,30
9101,2019,239698,13689,42,851541,252,30
9101,2019,48821,2486,4,189327,254,30
9111,2019,1176380,141171,20522,5378255,001,30
9111,2019,162517,19607,13175,882247,210,30
9111,2019,197186,23829,3609,896707,220,30
9111,2019,242938,29498,2204,1081183,230,30
9111,2019,273741,34753,1184,1207277,241,30
9111,2019,135272,17432,263,618059,242,30
9111,2019,109920,10962,76,487753,251,30
9111,2019,35760,2869,9,147611,252,30
920,2019,78130,14086,4075,376526,001,30
920,2019,21776,4553,3314,128385,210,30
920,2019,14087,3007,472,59651,220,30
920,2019,13463,2477,190,55900,230,30
920,2019,12718,2202,80,56443,241,30
920,2019,7782,937,13,33639,242,30
920,2019,8304,910,6,42508,251,30
930,2019,327438,41940,4279,1413801,001,30
930,2019,30016,3755,2501,169132,210,30
930,2019,36134,4936,748,160927,220,30
930,2019,52390,6895,499,223563,230,30
930,2019,79264,11496,387,333392,241,30
932,2019,694401,63520,3583,2830946,001,30
930,2019,43167,6511,96,177976,242,30
930,2019,49151,5521,41,202081,251,30
930,2019,22250,1906,6,89510,252,30
932,2019,23895,3414,1828,105988,210,30
932,2019,35307,4758,719,146445,220,30
932,2019,54103,7031,522,216962,230,30
932,2019,87765,9577,315,361374,241,30
932,2019,64921,7760,115,269399,242,30
932,2019,96757,7797,52,377314,251,30
932,2019,84818,6567,20,353709,252,30
932,2019,16049,2293,4,63973,254,30
932,2019,230786,14323,8,935782,260,30
933,2019,53526,2648,15,198299,001,30
933,2019,1543,202,6,6556,241,30
933,2019,3677,320,4,14720,242,30
