LFO,YEAR,PAYQTR1,EMP,GEO_ID,ESTAB,PAYANN,EMPSZES,state
001,2012,2800588,343842,0400000US30,36241,11885907,001,30
001,2012,250102,35841,0400000US30,22034,1251522,212,30
001,2012,306745,44469,0400000US30,6686,1325325,220,30
001,2012,390273,54806,0400000US30,4102,1692334,230,30
001,2012,530120,69160,0400000US30,2363,2234532,241,30
001,2012,358221,46908,0400000US30,684,1486979,242,30
001,2012,406244,42353,0400000US30,290,1682673,251,30
001,2012,224468,19469,0400000US30,56,821895,252,30
001,2012,103200,9786,0400000US30,14,428765,254,30
001,2012,231215,21050,0400000US30,12,961882,260,30
910,2012,1182598,114797,0400000US30,7217,4839884,001,30
910,2012,71804,5966,0400000US30,3337,308470,212,30
910,2012,96127,10370,0400000US30,1543,410108,220,30
910,2012,145000,15594,0400000US30,1154,627579,230,30
910,2012,234526,21794,0400000US30,731,950107,241,30
910,2012,170224,19114,0400000US30,273,691125,242,30
910,2012,223065,20286,0400000US30,141,893385,251,30
910,2012,140631,11256,0400000US30,31,520564,252,30
910,2012,0,0,0400000US30,4,0,254,30
910,2012,71096,0,0400000US30,3,313215,260,30
9111,2012,769814,117113,0400000US30,17137,3536332,001,30
9111,2012,113556,17107,0400000US30,10890,621250,212,30
9111,2012,140764,21031,0400000US30,3165,624055,220,30
9111,2012,157906,24308,0400000US30,1833,699853,230,30
9111,2012,176882,28114,0400000US30,972,788510,241,30
9111,2012,97103,14180,0400000US30,212,426086,242,30
9111,2012,69289,8847,0400000US30,60,321478,251,30
9111,2012,0,0,0400000US30,2,0,252,30
9111,2012,0,0,0400000US30,2,0,254,30
9111,2012,0,0,0400000US30,1,0,260,30
920,2012,60355,15545,0400000US30,4616,276836,001,30
920,2012,22567,5597,0400000US30,3748,112300,212,30
920,2012,13970,3657,0400000US30,570,58975,220,30
920,2012,10697,2717,0400000US30,210,44008,230,30
920,2012,9505,2337,0400000US30,81,42643,241,30
920,2012,1094,345,0400000US30,5,4663,242,30
920,2012,0,0,0400000US30,1,0,251,30
920,2012,0,0,0400000US30,0,0,252,30
930,2012,21994,3633,0400000US30,2248,121757,212,30
920,2012,0,0,0400000US30,1,0,254,30
920,2012,0,0,0400000US30,0,0,260,30
930,2012,204427,30927,0400000US30,3642,852981,001,30
930,2012,23992,4170,0400000US30,635,102803,220,30
930,2012,32257,5185,0400000US30,383,137210,230,30
930,2012,46356,7965,0400000US30,276,197662,241,30
930,2012,34117,4878,0400000US30,72,138885,242,30
930,2012,23848,3341,0400000US30,24,92981,251,30
930,2012,0,0,0400000US30,3,0,252,30
930,2012,0,0,0400000US30,1,0,254,30
