YEAR,state,county,MOVEDNET,FROMABROAD,POP1YR,TODIFFSTATE,FROMDIFFSTATE,POP1YRAGO
2010,4,27,3265.0,2146,187862,5839,8652,182789
2010,5,1,-770.0,275,19078,481,385,19550
2010,5,3,-412.0,7,21876,351,327,22292
2010,5,5,1046.0,175,41094,1708,2159,40029
2010,5,7,5310.0,918,207175,6289,11723,201598
2010,5,9,277.0,20,36299,1315,1520,36024
2010,5,11,-397.0,34,11459,246,197,11779
2010,5,13,22.0,0,5485,204,13,5453
2010,5,15,771.0,46,26657,630,1158,25810
2010,5,17,-197.0,8,11946,213,151,12142
2010,5,19,937.0,97,22815,804,1317,21859
2010,5,21,-510.0,0,16095,680,457,16605
2010,5,23,469.0,22,25478,783,894,24987
2010,5,25,-6.0,2,8643,120,53,8647
2010,5,27,188.0,65,24387,794,602,24266
2010,5,29,6.0,17,20686,457,354,20700
2010,5,31,1359.0,275,91928,2320,2594,90567
2010,5,33,1226.0,22,59986,1394,2703,58813
2010,5,35,238.0,60,49802,1792,1874,49635
2010,5,37,-699.0,17,17919,507,312,18527
2010,5,39,254.0,0,8212,50,807,7908
2010,5,41,-788.0,106,13112,310,185,13810
2010,5,43,-18.0,46,18404,524,269,18344
2010,5,45,3102.0,805,107139,2711,3434,103192
2010,5,47,39.0,24,17917,349,156,17835
2010,5,49,-227.0,0,12105,366,227,12411
2010,5,51,885.0,297,94320,2340,3207,93182
2010,5,53,263.0,115,17511,177,191,17175
2010,5,55,-73.0,120,40812,832,722,40629
2010,5,57,99.0,38,22519,334,496,22420
2010,5,59,392.0,4,32406,375,526,31993
2010,5,61,-707.0,22,13648,198,211,14331
2010,5,63,496.0,147,35627,668,821,35011
2010,5,65,-93.0,37,13563,198,516,13691
2010,5,67,1423.0,0,17795,128,432,16391
2010,5,69,223.0,148,77086,1661,2409,76747
2010,5,71,-111.0,15,24810,347,389,24900
2010,5,73,-91.0,0,7665,125,136,7765
2010,5,75,-4.0,18,17159,281,330,17152
2010,5,77,18.0,28,10601,236,255,10516
2010,5,79,46.0,0,14070,183,116,14015
2010,5,81,412.0,0,13017,144,593,12636
2010,5,83,-104.0,28,22286,456,459,22410
2010,5,85,718.0,255,64912,1355,1985,63903
2010,5,87,46.0,70,15316,150,424,15189
2010,5,89,100.0,25,16616,299,475,16582
2010,5,91,-405.0,154,42392,2950,2494,42579
2010,5,93,494.0,179,46023,1408,1386,45800
2010,5,95,-269.0,0,8423,112,93,8647
2010,5,97,167.0,7,9382,102,376,9201
2010,5,99,-184.0,2,8989,123,190,9171
2010,5,101,20.0,5,8291,50,205,8266
2010,5,103,313.0,27,25868,307,442,25494
2010,5,105,196.0,4,10258,143,69,10058
2010,5,107,-517.0,17,22032,842,596,22532
2010,5,109,93.0,3,11097,74,153,11004
2010,5,111,-76.0,56,24407,413,595,24388
2010,5,113,-125.0,24,20151,740,429,20308
2010,5,115,224.0,166,59499,801,1097,59097
2010,5,117,32.0,4,8734,21,119,8709
2010,5,119,-1915.0,1900,372014,10949,10906,372344
2010,5,121,-76.0,19,17782,297,305,17860
2010,5,123,-377.0,56,28056,880,999,28378
2010,5,125,2388.0,150,101182,1870,2339,98732
2010,5,127,-248.0,72,11105,430,296,11289
2010,5,129,-661.0,0,8185,171,35,8846
2010,5,131,-663.0,335,122253,4768,4328,122684
2010,5,133,615.0,211,16228,190,766,15402
2010,5,135,-290.0,0,17306,226,353,17533
2010,5,137,-233.0,0,12154,268,397,12394
2010,5,139,-847.0,17,41792,1036,951,42588
2010,5,141,683.0,38,17109,144,481,16388
2010,5,143,6107.0,1177,194513,5660,8536,187551
2010,5,145,2142.0,286,74101,1582,3071,71561
2010,5,147,-630.0,9,7429,3,88,8050
2010,5,149,-334.0,9,21761,228,245,22121
2010,6,1,-8953.0,15847,1460470,25775,20094,1453462
2010,6,3,-225.0,17,1158,132,24,1366
2010,6,5,-339.0,54,38076,811,309,38337
2010,6,7,2578.0,893,215868,3096,3324,212660
2010,6,9,-307.0,53,45673,793,280,45938
2010,6,11,-41.0,375,20858,160,249,20547
2010,6,13,-3444.0,7747,1013029,14401,9193,1009278
2010,6,15,617.0,64,28054,908,617,27346
2010,6,17,189.0,498,177387,3942,2559,176999
2010,6,19,-4647.0,4816,893994,10052,6997,893902
2010,6,21,-144.0,50,27500,209,193,27584
2010,6,23,277.0,445,131569,3154,2430,130843
2010,6,25,-840.0,2216,165706,3002,1987,164432
2010,6,27,331.0,5,18145,619,414,17881
2010,6,29,14426.0,4206,802631,12421,11798,784479
2010,6,31,3489.0,1183,148943,2797,3782,144434
2010,6,33,750.0,335,63786,796,1118,62724
2010,6,35,1633.0,115,34684,1184,1060,33027
2010,6,37,-146183.0,70548,9630442,156133,94652,9708169
2010,6,39,-57.0,1037,145579,1539,1122,144580
2010,6,41,2114.0,1665,246348,4156,3097,242618
2010,6,43,237.0,75,18167,173,629,17866
2010,6,45,-1484.0,554,86442,1310,1175,87317
2010,6,47,-523.0,619,246169,3294,1990,246001
2010,6,49,725.0,0,9539,87,290,8818
2010,6,51,392.0,89,13808,236,292,13347
2010,6,53,-1070.0,3756,401432,10242,8933,399103
2010,6,55,261.0,1245,132520,1431,1492,131018
2010,6,57,-85.0,515,97368,2027,1512,97045
2010,6,59,-17795.0,24096,2928530,47042,33481,2923806
2010,6,61,3965.0,1189,332995,5756,4842,328105
2010,6,63,115.0,0,20281,662,513,20166
2010,6,65,31922.0,11847,2078679,32672,25774,2036553
2010,6,67,725.0,7846,1376779,22328,17172,1368926
2010,6,69,-359.0,947,53887,545,159,53228
2010,6,71,6429.0,11675,1976008,38039,27143,1959028
2010,6,73,447.0,34689,2982268,83365,77177,2949854
2010,6,75,-13601.0,10616,781709,17496,15799,785273
2010,6,77,217.0,4020,662854,8175,6333,658746
2010,6,79,5523.0,1287,263141,4440,3491,256134
2010,6,81,-3065.0,6551,694991,8923,6836,691472
2010,6,83,-400.0,4486,410565,9067,7724,406345
2010,6,85,-12661.0,25149,1714053,25518,22852,1703083
2010,6,87,-547.0,1784,254091,4508,3423,252793
2010,6,89,-859.0,592,174891,3799,2022,175146
2010,6,91,-155.0,0,3359,72,21,3506
2010,6,93,69.0,78,44257,1254,1409,44128
2010,6,95,-2977.0,2569,404048,6920,5318,404484
2010,6,97,-1313.0,1967,468892,6606,5186,468314
2010,6,99,-3954.0,2867,502040,8240,4241,502874
2010,6,101,-548.0,1479,92177,1034,917,91271
2010,6,103,-104.0,152,61667,1035,584,61690
2010,6,105,-407.0,114,13549,246,107,13755
2010,6,107,-3309.0,2302,421366,5071,2668,422137
2010,6,109,2041.0,94,55585,619,650,53468
2010,6,111,-1669.0,5241,799014,15815,10733,795624
2010,6,113,8199.0,2027,193991,3053,3058,183625
2010,6,115,1323.0,576,69840,1620,1575,67935
2010,8,1,4942.0,2690,417922,9205,9663,410194
2010,8,3,139.0,69,15025,444,757,14799
2010,8,5,1106.0,3464,544844,15575,16433,539826
2010,8,7,-513.0,0,12123,591,458,12625
2010,8,9,-408.0,0,3769,327,113,4177
2010,8,11,257.0,10,6092,87,169,5825
2010,8,13,4810.0,2894,286749,11424,15763,280094
2010,8,14,761.0,130,51999,1469,1703,51302
2010,8,15,-288.0,31,17322,657,491,17536
2010,8,17,-54.0,0,2154,14,27,2208
2010,8,19,145.0,45,9083,215,242,8983
2010,8,21,-311.0,28,8114,376,249,8399
2010,8,23,-110.0,0,3487,44,47,3597
2010,8,25,98.0,181,5771,322,112,5505
