2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DP03_0031PE,DP03_0030PE,DP03_0030PE,DP03_0030PE,DP03_0030PE,DP03_0030PE,DP03_0030PE,DP03_0030PE,DP03_0030PE,DP03_0030PE,DP03_0030PE
DP03_0032PE,DP03_0031PE,DP03_0031PE,DP03_0031PE,DP03_0031PE,DP03_0031PE,DP03_0031PE,DP03_0031PE,DP03_0031PE,DP03_0031PE,DP03_0031PE
DP03_0047E,DP03_0046E,DP03_0046E,DP03_0046E,DP03_0046E,DP03_0046E,DP03_0046E,DP03_0046E,DP03_0046E,DP03_0046E,DP03_0046E
DP03_0048PE,DP03_0047PE,DP03_0047PE,DP03_0047PE,DP03_0047PE,DP03_0047PE,DP03_0047PE,DP03_0047PE,DP03_0047PE,DP03_0047PE,DP03_0047PE
DP03_0049PE,DP03_0048PE,DP03_0048PE,DP03_0048PE,DP03_0048PE,DP03_0048PE,DP03_0048PE,DP03_0048PE,DP03_0048PE,DP03_0048PE,DP03_0048PE
DP03_0050PE,DP03_0049PE,DP03_0049PE,DP03_0049PE,DP03_0049PE,DP03_0049PE,DP03_0049PE,DP03_0049PE,DP03_0049PE,DP03_0049PE,DP03_0049PE
DP03_0051PE,DP03_0050PE,DP03_0050PE,DP03_0050PE,DP03_0050PE,DP03_0050PE,DP03_0050PE,DP03_0050PE,DP03_0050PE,DP03_0050PE,DP03_0050PE
DP03_0053PE,DP03_0052PE,DP03_0052PE,DP03_0052PE,DP03_0052PE,DP03_0052PE,DP03_0052PE,DP03_0052PE,DP03_0052PE,DP03_0052PE,DP03_0052PE
DP03_0054PE,DP03_0053PE,DP03_0053PE,DP03_0053PE,DP03_0053PE,DP03_0053PE,DP03_0053PE,DP03_0053PE,DP03_0053PE,DP03_0053PE,DP03_0053PE
DP03_0055PE,DP03_0054PE,DP03_0054PE,DP03_0054PE,DP03_0054PE,DP03_0054PE,DP03_0054PE,DP03_0054PE,DP03_0054PE,DP03_0054PE,DP03_0054PE
DP03_0056PE,DP03_0055PE,DP03_0055PE,DP03_0055PE,DP03_0055PE,DP03_0055PE,DP03_0055PE,DP03_0055PE,DP03_0055PE,DP03_0055PE,DP03_0055PE
DP03_0057PE,DP03_0056PE,DP03_0056PE,DP03_0056PE,DP03_0056PE,DP03_0056PE,DP03_0056PE,DP03_0056PE,DP03_0056PE,DP03_0056PE,DP03_0056PE
DP03_0058PE,DP03_0057PE,DP03_0057PE,DP03_0057PE,DP03_0057PE,DP03_0057PE,DP03_0057PE,DP03_0057PE,DP03_0057PE,DP03_0057PE,DP03_0057PE
DP03_0059PE,DP03_0058PE,DP03_0058PE,DP03_0058PE,DP03_0058PE,DP03_0058PE,DP03_0058PE,DP03_0058PE,DP03_0058PE,DP03_0058PE,DP03_0058PE
DP03_0060PE,DP03_0059PE,DP03_0059PE,DP03_0059PE,DP03_0059PE,DP03_0059PE,DP03_0059PE,DP03_0059PE,DP03_0059PE,DP03_0059PE,DP03_0059PE
DP03_0061PE,DP03_0060PE,DP03_0060PE,DP03_0060PE,DP03_0060PE,DP03_0060PE,DP03_0060PE,DP03_0060PE,DP03_0060PE,DP03_0060PE,DP03_0060PE
DP03_0062PE,DP03_0061PE,DP03_0061PE,DP03_0061PE,DP03_0061PE,DP03_0061PE,DP03_0061PE,DP03_0061PE,DP03_0061PE,DP03_0061PE,DP03_0061PE
DP03_0063PE,DP03_0062PE,DP03_0062PE,DP03_0062PE,DP03_0062PE,DP03_0062PE,DP03_0062PE,DP03_0062PE,DP03_0062PE,DP03_0062PE,DP03_0062PE
DP03_0064PE,DP03_0063PE,DP03_0063PE,DP03_0063PE,DP03_0063PE,DP03_0063PE,DP03_0063PE,DP03_0063PE,DP03_0063PE,DP03_0063PE,DP03_0063PE
DP03_0065PE,DP03_0064PE,DP03_0064PE,DP03_0064PE,DP03_0064PE,DP03_0064PE,DP03_0064PE,DP03_0064PE,DP03_0064PE,DP03_0064PE,DP03_0064PE
DP03_0066PE,DP03_0065PE,DP03_0065PE,DP03_0065PE,DP03_0065PE,DP03_0065PE,DP03_0065PE,DP03_0065PE,DP03_0065PE,DP03_0065PE,DP03_0065PE
DP03_0067PE,DP03_0066PE,DP03_0066PE,DP03_0066PE,DP03_0066PE,DP03_0066PE,DP03_0066PE,DP03_0066PE,DP03_0066PE,DP03_0066PE,DP03_0066PE
DP03_0068PE,DP03_0067PE,DP03_0067PE,DP03_0067PE,DP03_0067PE,DP03_0067PE,DP03_0067PE,DP03_0067PE,DP03_0067PE,DP03_0067PE,DP03_0067PE
DP03_0069PE,DP03_0068PE,DP03_0068PE,DP03_0068PE,DP03_0068PE,DP03_0068PE,DP03_0068PE,DP03_0068PE,DP03_0068PE,DP03_0068PE,DP03_0068PE
DP03_0070PE,DP03_0069PE,DP03_0069PE,DP03_0069PE,DP03_0069PE,DP03_0069PE,DP03_0069PE,DP03_0069PE,DP03_0069PE,DP03_0069PE,DP03_0069PE
DP03_0071PE,DP03_0070PE,DP03_0070PE,DP03_0070PE,DP03_0070PE,DP03_0070PE,DP03_0070PE,DP03_0070PE,DP03_0070PE,DP03_0070PE,DP03_0070PE
DP03_0072PE,DP03_0071PE,DP03_0071PE,DP03_0071PE,DP03_0071PE,DP03_0071PE,DP03_0071PE,DP03_0071PE,DP03_0071PE,DP03_0071PE,DP03_0071PE
DP03_0073PE,DP03_0072PE,DP03_0072PE,DP03_0072PE,DP03_0072PE,DP03_0072PE,DP03_0072PE,DP03_0072PE,DP03_0072PE,DP03_0072PE,DP03_0072PE
DP03_0074PE,DP03_0073PE,DP03_0073PE,DP03_0073PE,DP03_0073PE,DP03_0073PE,DP03_0073PE,DP03_0073PE,DP03_0073PE,DP03_0073PE,DP03_0073PE
DP03_0075PE,DP03_0074PE,DP03_0074PE,DP03_0074PE,DP03_0074PE,DP03_0074PE,DP03_0074PE,DP03_0074PE,DP03_0074PE,DP03_0074PE,DP03_0074PE
DP03_0077PE,DP03_0076PE,DP03_0076PE,DP03_0076PE,DP03_0076PE,DP03_0076PE,DP03_0076PE,DP03_0076PE,DP03_0076PE,DP03_0076PE,DP03_0076PE
DP03_0078PE,DP03_0077PE,DP03_0077PE,DP03_0077PE,DP03_0077PE,DP03_0077PE,DP03_0077PE,DP03_0077PE,DP03_0077PE,DP03_0077PE,DP03_0077PE
DP03_0079PE,DP03_0078PE,DP03_0078PE,DP03_0078PE,DP03_0078PE,DP03_0078PE,DP03_0078PE,DP03_0078PE,DP03_0078PE,DP03_0078PE,DP03_0078PE
DP03_0080PE,DP03_0079PE,DP03_0079PE,DP03_0079PE,DP03_0079PE,DP03_0079PE,DP03_0079PE,DP03_0079PE,DP03_0079PE,DP03_0079PE,DP03_0079PE
DP03_0081PE,DP03_0080PE,DP03_0080PE,DP03_0080PE,DP03_0080PE,DP03_0080PE,DP03_0080PE,DP03_0080PE,DP03_0080PE,DP03_0080PE,DP03_0080PE
DP03_0082PE,DP03_0081PE,DP03_0081PE,DP03_0081PE,DP03_0081PE,DP03_0081PE,DP03_0081PE,DP03_0081PE,DP03_0081PE,DP03_0081PE,DP03_0081PE
DP03_0083PE,DP03_0082PE,DP03_0082PE,DP03_0082PE,DP03_0082PE,DP03_0082PE,DP03_0082PE,DP03_0082PE,DP03_0082PE,DP03_0082PE,DP03_0082PE
DP03_0084PE,DP03_0083PE,DP03_0083PE,DP03_0083PE,DP03_0083PE,DP03_0083PE,DP03_0083PE,DP03_0083PE,DP03_0083PE,DP03_0083PE,DP03_0083PE
DP03_0085PE,DP03_0084PE,DP03_0084PE,DP03_0084PE,DP03_0084PE,DP03_0084PE,DP03_0084PE,DP03_0084PE,DP03_0084PE,DP03_0084PE,DP03_0084PE
DP03_0086PE,DP03_0085PE,DP03_0085PE,DP03_0085PE,DP03_0085PE,DP03_0085PE,DP03_0085PE,DP03_0085PE,DP03_0085PE,DP03_0085PE,DP03_0085PE
DP03_0087PE,DP03_0086PE,DP03_0086PE,DP03_0086PE,DP03_0086PE,DP03_0086PE,DP03_0086PE,DP03_0086PE,DP03_0086PE,DP03_0086PE,DP03_0086PE
