2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DP05_0032E,DP05_0032E,DP05_0032E,DP05_0032E,DP05_0032E,DP05_0032E,DP05_0032E,DP05_0032E,DP05_0037E,DP05_0037E,DP05_0037E
DP05_0033PE,DP05_0033PE,DP05_0033PE,DP05_0033PE,DP05_0033PE,DP05_0033PE,DP05_0033PE,DP05_0033PE,DP05_0038PE,DP05_0038PE,DP05_0038PE
DP05_0034PE,DP05_0034PE,DP05_0034PE,DP05_0034PE,DP05_0034PE,DP05_0034PE,DP05_0034PE,DP05_0034PE,DP05_0039PE,DP05_0039PE,DP05_0039PE
DP05_0035PE,DP05_0035PE,DP05_0035PE,DP05_0035PE,DP05_0035PE,DP05_0035PE,DP05_0035PE,DP05_0035PE,DP05_0040PE,DP05_0040PE,DP05_0040PE
DP05_0036PE,DP05_0036PE,DP05_0036PE,DP05_0036PE,DP05_0036PE,DP05_0036PE,DP05_0036PE,DP05_0036PE,DP05_0041PE,DP05_0041PE,DP05_0041PE
DP05_0037PE,DP05_0037PE,DP05_0037PE,DP05_0037PE,DP05_0037PE,DP05_0037PE,DP05_0037PE,DP05_0037PE,DP05_0042PE,DP05_0042PE,DP05_0042PE
DP05_0038PE,DP05_0038PE,DP05_0038PE,DP05_0038PE,DP05_0038PE,DP05_0038PE,DP05_0038PE,DP05_0038PE,DP05_0043PE,DP05_0043PE,DP05_0043PE
DP05_0039PE,DP05_0039PE,DP05_0039PE,DP05_0039PE,DP05_0039PE,DP05_0039PE,DP05_0039PE,DP05_0039PE,DP05_0044PE,DP05_0044PE,DP05_0044PE
DP05_0040PE,DP05_0040PE,DP05_0040PE,DP05_0040PE,DP05_0040PE,DP05_0040PE,DP05_0040PE,DP05_0040PE,DP05_0045PE,DP05_0045PE,DP05_0045PE
DP05_0041PE,DP05_0041PE,DP05_0041PE,DP05_0041PE,DP05_0041PE,DP05_0041PE,DP05_0041PE,DP05_0041PE,DP05_0046PE,DP05_0046PE,DP05_0046PE
DP05_0042PE,DP05_0042PE,DP05_0042PE,DP05_0042PE,DP05_0042PE,DP05_0042PE,DP05_0042PE,DP05_0042PE,DP05_0047PE,DP05_0047PE,DP05_0047PE
DP05_0043PE,DP05_0043PE,DP05_0043PE,DP05_0043PE,DP05_0043PE,DP05_0043PE,DP05_0043PE,DP05_0043PE,DP05_0048PE,DP05_0048PE,DP05_0048PE
DP05_0044PE,DP05_0044PE,DP05_0044PE,DP05_0044PE,DP05_0044PE,DP05_0044PE,DP05_0044PE,DP05_0044PE,DP05_0049PE,DP05_0049PE,DP05_0049PE
DP05_0045PE,DP05_0045PE,DP05_0045PE,DP05_0045PE,DP05_0045PE,DP05_0045PE,DP05_0045PE,DP05_0045PE,DP05_0050PE,DP05_0050PE,DP05_0050PE
DP05_0046PE,DP05_0046PE,DP05_0046PE,DP05_0046PE,DP05_0046PE,DP05_0046PE,DP05_0046PE,DP05_0046PE,DP05_0051PE,DP05_0051PE,DP05_0051PE
DP05_0047PE,DP05_0047PE,DP05_0047PE,DP05_0047PE,DP05_0047PE,DP05_0047PE,DP05_0047PE,DP05_0047PE,DP05_0052PE,DP05_0052PE,DP05_0052PE
DP05_0048PE,DP05_0048PE,DP05_0048PE,DP05_0048PE,DP05_0048PE,DP05_0048PE,DP05_0048PE,DP05_0048PE,DP05_0053PE,DP05_0053PE,DP05_0053PE
DP05_0049PE,DP05_0049PE,DP05_0049PE,DP05_0049PE,DP05_0049PE,DP05_0049PE,DP05_0049PE,DP05_0049PE,DP05_0054PE,DP05_0054PE,DP05_0054PE
DP05_0050PE,DP05_0050PE,DP05_0050PE,DP05_0050PE,DP05_0050PE,DP05_0050PE,DP05_0050PE,DP05_0050PE,DP05_0055PE,DP05_0055PE,DP05_0055PE
DP05_0051PE,DP05_0051PE,DP05_0051PE,DP05_0051PE,DP05_0051PE,DP05_0051PE,DP05_0051PE,DP05_0051PE,DP05_0056PE,DP05_0056PE,DP05_0056PE
DP05_0052PE,DP05_0052PE,DP05_0052PE,DP05_0052PE,DP05_0052PE,DP05_0052PE,DP05_0052PE,DP05_0052PE,DP05_0057PE,DP05_0057PE,DP05_0057PE
DP05_0053PE,DP05_0053PE,DP05_0053PE,DP05_0053PE,DP05_0053PE,DP05_0053PE,DP05_0053PE,DP05_0053PE,DP05_0058PE,DP05_0058PE,DP05_0058PE
DP05_0054PE,DP05_0054PE,DP05_0054PE,DP05_0054PE,DP05_0054PE,DP05_0054PE,DP05_0054PE,DP05_0054PE,DP05_0059PE,DP05_0059PE,DP05_0059PE
DP05_0055PE,DP05_0055PE,DP05_0055PE,DP05_0055PE,DP05_0055PE,DP05_0055PE,DP05_0055PE,DP05_0055PE,DP05_0060PE,DP05_0060PE,DP05_0060PE
DP05_0056PE,DP05_0056PE,DP05_0056PE,DP05_0056PE,DP05_0056PE,DP05_0056PE,DP05_0056PE,DP05_0056PE,DP05_0061PE,DP05_0061PE,DP05_0061PE
DP05_0057PE,DP05_0057PE,DP05_0057PE,DP05_0057PE,DP05_0057PE,DP05_0057PE,DP05_0057PE,DP05_0057PE,DP05_0062PE,DP05_0062PE,DP05_0062PE
DP05_0059PE,DP05_0059PE,DP05_0059PE,DP05_0059PE,DP05_0059PE,DP05_0059PE,DP05_0059PE,DP05_0059PE,DP05_0064PE,DP05_0064PE,DP05_0064PE
DP05_0060PE,DP05_0060PE,DP05_0060PE,DP05_0060PE,DP05_0060PE,DP05_0060PE,DP05_0060PE,DP05_0060PE,DP05_0065PE,DP05_0065PE,DP05_0065PE
DP05_0061PE,DP05_0061PE,DP05_0061PE,DP05_0061PE,DP05_0061PE,DP05_0061PE,DP05_0061PE,DP05_0061PE,DP05_0066PE,DP05_0066PE,DP05_0066PE
DP05_0062PE,DP05_0062PE,DP05_0062PE,DP05_0062PE,DP05_0062PE,DP05_0062PE,DP05_0062PE,DP05_0062PE,DP05_0067PE,DP05_0067PE,DP05_0067PE
DP05_0063PE,DP05_0063PE,DP05_0063PE,DP05_0063PE,DP05_0063PE,DP05_0063PE,DP05_0063PE,DP05_0063PE,DP05_0068PE,DP05_0068PE,DP05_0068PE
DP05_0064PE,DP05_0064PE,DP05_0064PE,DP05_0064PE,DP05_0064PE,DP05_0064PE,DP05_0064PE,DP05_0064PE,DP05_0069PE,DP05_0069PE,DP05_0069PE
DP05_0065E,DP05_0065E,DP05_0065E,DP05_0065E,DP05_0065E,DP05_0065E,DP05_0065E,DP05_0065E,DP05_0070E,DP05_0070E,DP05_0070E
DP05_0066PE,DP05_0066PE,DP05_0066PE,DP05_0066PE,DP05_0066PE,DP05_0066PE,DP05_0066PE,DP05_0066PE,DP05_0071PE,DP05_0071PE,DP05_0071PE
DP05_0067PE,DP05_0067PE,DP05_0067PE,DP05_0067PE,DP05_0067PE,DP05_0067PE,DP05_0067PE,DP05_0067PE,DP05_0072PE,DP05_0072PE,DP05_0072PE
DP05_0068PE,DP05_0068PE,DP05_0068PE,DP05_0068PE,DP05_0068PE,DP05_0068PE,DP05_0068PE,DP05_0068PE,DP05_0073PE,DP05_0073PE,DP05_0073PE
DP05_0069PE,DP05_0069PE,DP05_0069PE,DP05_0069PE,DP05_0069PE,DP05_0069PE,DP05_0069PE,DP05_0069PE,DP05_0074PE,DP05_0074PE,DP05_0074PE
DP05_0070PE,DP05_0070PE,DP05_0070PE,DP05_0070PE,DP05_0070PE,DP05_0070PE,DP05_0070PE,DP05_0070PE,DP05_0075PE,DP05_0075PE,DP05_0075PE
DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0076PE,DP05_0076PE,DP05_0076PE
DP05_0072PE,DP05_0072PE,DP05_0072PE,DP05_0072PE,DP05_0072PE,DP05_0072PE,DP05_0072PE,DP05_0072PE,DP05_0077PE,DP05_0077PE,DP05_0077PE
DP05_0073PE,DP05_0073PE,DP05_0073PE,DP05_0073PE,DP05_0073PE,DP05_0073PE,DP05_0073PE,DP05_0073PE,DP05_0078PE,DP05_0078PE,DP05_0078PE
DP05_0074PE,DP05_0074PE,DP05_0074PE,DP05_0074PE,DP05_0074PE,DP05_0074PE,DP05_0074PE,DP05_0074PE,DP05_0079PE,DP05_0079PE,DP05_0079PE
DP05_0075PE,DP05_0075PE,DP05_0075PE,DP05_0075PE,DP05_0075PE,DP05_0075PE,DP05_0075PE,DP05_0075PE,DP05_0080PE,DP05_0080PE,DP05_0080PE
DP05_0076PE,DP05_0076PE,DP05_0076PE,DP05_0076PE,DP05_0076PE,DP05_0076PE,DP05_0076PE,DP05_0076PE,DP05_0081PE,DP05_0081PE,DP05_0081PE
DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0082PE,DP05_0082PE,DP05_0082PE
DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0083PE,DP05_0083PE,DP05_0083PE
DP05_0079PE,DP05_0079PE,DP05_0079PE,DP05_0079PE,DP05_0079PE,DP05_0079PE,DP05_0079PE,DP05_0079PE,DP05_0084PE,DP05_0084PE,DP05_0084PE
DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0085PE,DP05_0085PE,DP05_0085PE
