LFO,YEAR,PAYQTR1,EMP,ESTAB,PAYANN,EMPSZES,state
001,2018,9100016,944890,59271,36775694,001,28
001,2018,469571,54379,29622,2164533,210,28
001,2018,670711,83778,12634,2754054,220,28
001,2018,908769,110320,8238,3705543,230,28
001,2018,1400622,172136,5667,5731685,241,28
001,2018,1092728,124299,1819,4445645,242,28
001,2018,1269195,126490,865,4990688,251,28
001,2018,1049734,93486,279,4001630,252,28
001,2018,719483,65518,94,2916028,254,28
001,2018,1519203,114484,53,6065888,260,28
9101,2018,4537664,406661,16262,18010282,001,28
9101,2018,144254,11386,5627,593512,210,28
9101,2018,265550,28961,4310,1076443,220,28
9101,2018,370378,37611,2852,1471232,230,28
9101,2018,642522,62265,2066,2579632,241,28
9101,2018,527784,49582,718,2129252,242,28
9101,2018,714247,64604,428,2768596,251,28
9101,2018,691311,59502,176,2619919,252,28
9101,2018,506936,40465,58,2062590,254,28
9101,2018,674682,52285,27,2709106,260,28
9111,2018,1898838,240096,21367,7981340,001,28
9111,2018,178685,20017,11283,866085,210,28
9111,2018,238671,29658,4472,1000235,220,28
9111,2018,320766,40169,2987,1356558,230,28
9111,2018,406069,56417,1858,1727568,241,28
9111,2018,265229,35393,527,1096354,242,28
9111,2018,238237,26196,185,949133,251,28
9111,2018,99777,12143,36,399555,252,28
9111,2018,46564,8303,12,187682,254,28
9111,2018,104840,11800,7,398170,260,28
920,2018,261942,38854,7353,1088540,001,28
920,2018,50196,9109,5432,236039,210,28
920,2018,40857,7328,1145,165224,220,28
920,2018,35476,6234,472,142354,230,28
920,2018,41354,6295,220,163406,241,28
920,2018,35531,3726,56,145385,242,28
920,2018,34560,3580,24,140380,251,28
930,2018,912640,124660,7981,3739436,001,28
930,2018,55513,7030,3904,286106,210,28
930,2018,71344,9387,1401,291638,220,28
930,2018,114453,16232,1186,467201,230,28
930,2018,193649,30170,976,789196,241,28
930,2018,151179,23297,338,610731,242,28
930,2018,151833,19026,135,610027,251,28
930,2018,101340,10426,32,389796,252,28
930,2018,30302,4348,7,115903,254,28
932,2018,873929,94623,6053,3494941,001,28
932,2018,39415,6694,3289,177042,210,28
932,2018,50585,8036,1245,205651,220,28
932,2018,63816,9645,708,254076,230,28
932,2018,114245,16555,534,458783,241,28
932,2018,102843,11537,170,418897,242,28
932,2018,94607,9437,67,377646,251,28
932,2018,118808,7814,24,437361,252,28
932,2018,55701,6125,8,225497,254,28
932,2018,233909,18780,8,939988,260,28
933,2018,544199,34053,42,2173403,001,28
933,2018,25526,2591,17,104023,251,28
933,2018,29104,2686,8,117619,252,28
933,2018,70694,5513,8,286793,254,28
933,2018,416983,23156,7,1657332,260,28
942,2018,70804,5943,213,287752,001,28
942,2018,1500,141,86,5712,210,28
942,2018,3704,408,61,14863,220,28
942,2018,3880,429,33,14122,230,28
