LFO,YEAR,PAYQTR1,EMP,ESTAB,PAYANN,EMPSZES,state
001,2016,34033617,2661627,150115,137135936,001,27
001,2016,1204629,128050,80700,6550952,212,27
001,2016,1575557,176887,26483,6913255,220,27
001,2016,2436260,269745,19818,10507685,230,27
001,2016,4197418,424713,14025,17780984,241,27
001,2016,3812342,337637,4903,15856664,242,27
001,2016,5210903,438322,2925,21238643,251,27
001,2016,4007898,281495,822,15680172,252,27
001,2016,3139385,187377,270,11841016,254,27
001,2016,8449225,417401,169,30766565,260,27
910,2016,18003053,1058816,32439,68608181,001,27
910,2016,320541,21616,11822,1625432,212,27
910,2016,505400,43720,6495,2099009,220,27
910,2016,890317,81824,5999,3694233,230,27
910,2016,1698803,136271,4508,6933804,241,27
910,2016,1683085,115456,1645,6883499,242,27
910,2016,2790719,194481,1286,11149163,251,27
910,2016,2480633,147595,434,9230346,252,27
910,2016,2237011,111857,160,8183432,254,27
910,2016,5396544,205996,90,18809263,260,27
9111,2016,7336460,791585,74319,32994827,001,27
9111,2016,599136,66536,44286,3464568,212,27
9111,2016,730429,84459,12685,3376227,220,27
9111,2016,1008776,118213,8684,4567628,230,27
9111,2016,1547731,176299,5879,6918609,241,27
9111,2016,1142650,119384,1757,5000101,242,27
9111,2016,1168713,121213,820,4960501,251,27
9111,2016,617584,55152,159,2593623,252,27
9111,2016,241995,26402,38,985869,254,27
9111,2016,279446,23927,11,1127701,260,27
920,2016,604376,78651,14539,2650110,001,27
920,2016,85603,16065,11476,461918,212,27
920,2016,62339,11351,1752,267845,220,27
920,2016,52115,9768,747,222210,230,27
920,2016,73435,9656,327,316174,241,27
920,2016,80163,10600,152,329773,242,27
920,2016,94070,9719,59,400424,251,27
920,2016,68697,6854,21,284517,252,27
920,2016,0,0,3,0,254,27
920,2016,0,0,2,0,260,27
930,2016,2389609,219547,13030,9950292,001,27
930,2016,106613,10612,6632,590769,212,27
930,2016,121044,14431,2169,519852,220,27
930,2016,223680,24709,1794,926690,230,27
930,2016,418097,46945,1503,1685390,241,27
930,2016,453385,41681,613,1760080,242,27
930,2016,455397,35763,246,1855986,251,27
930,2016,285287,18424,53,1243763,252,27
930,2016,151331,9330,15,659646,254,27
930,2016,174775,17652,5,708116,260,27
932,2016,5020426,458535,14570,20311418,001,27
932,2016,80880,12628,6240,362798,212,27
932,2016,137666,20677,3068,567403,220,27
932,2016,221543,30939,2281,925064,230,27
932,2016,404536,50017,1627,1686439,241,27
932,2016,385898,45302,661,1603163,242,27
932,2016,610013,68302,459,2499308,251,27
932,2016,485521,46422,135,2022473,252,27
932,2016,400093,32606,47,1631510,254,27
932,2016,2294276,151642,52,9013260,260,27
933,2016,283490,28565,286,1159914,001,27
933,2016,492,88,26,2201,212,27
933,2016,3261,796,112,13422,220,27
933,2016,4185,1071,84,17555,230,27
933,2016,2646,465,16,11234,241,27
933,2016,0,0,0,0,242,27
933,2016,37296,3988,24,158006,251,27
933,2016,37860,4421,12,161417,252,27
933,2016,30224,3280,4,122997,254,27
933,2016,167526,14456,8,673082,260,27
942,2016,396203,25928,932,1461194,001,27
942,2016,11364,505,218,43266,212,27
942,2016,67161,5214,75,280048,242,27
942,2016,15418,1453,202,69497,220,27
942,2016,35644,3221,229,154305,230,27
942,2016,52170,5060,165,229334,241,27
942,2016,54695,4856,31,215255,251,27
942,2016,32316,2627,8,144033,252,27
942,2016,57329,1967,3,173174,254,27
942,2016,0,0,1,0,260,27
001,2016,8315183,939322,58850,34356961,001,28
001,2016,442930,54282,29356,2066199,212,28
001,2016,635809,84013,12719,2662544,220,28
001,2016,854959,109541,8188,3558214,230,28
001,2016,1307170,165908,5516,5456874,241,28
001,2016,971326,122013,1787,4025313,242,28
001,2016,1205318,129640,873,4900354,251,28
001,2016,854375,91463,265,3494801,252,28
001,2016,687878,67951,96,2742356,254,28
001,2016,1355418,114511,50,5450306,260,28
910,2016,4177217,413688,16868,17062612,001,28
910,2016,138951,11741,5861,607454,212,28
910,2016,254135,29250,4393,1051985,220,28
910,2016,371041,40349,3063,1517907,230,28
910,2016,612141,64646,2138,2499393,241,28
910,2016,477278,48726,710,1954031,242,28
910,2016,684288,68349,448,2794352,251,28
910,2016,601816,61770,174,2447916,252,28
910,2016,472232,41809,60,1908649,254,28
910,2016,565335,47048,21,2280925,260,28
9111,2016,1792213,235132,20487,7533026,001,28
9111,2016,164728,19194,10702,782379,212,28
9111,2016,218425,29134,4377,942088,220,28
9111,2016,280680,38304,2845,1199693,230,28
9111,2016,388294,53678,1793,1676682,241,28
9111,2016,244803,35569,527,1030656,242,28
9111,2016,212964,25700,186,905380,251,28
9111,2016,91305,12348,37,377815,252,28
9111,2016,67754,9749,14,234992,254,28
9111,2016,123260,11456,6,383341,260,28
920,2016,253845,42322,7672,1069422,001,28
920,2016,39467,6252,214,161034,241,28
920,2016,49642,9718,5666,240979,212,28
920,2016,41409,8016,1252,172297,220,28
920,2016,30767,5962,459,127925,230,28
920,2016,21393,3405,51,91268,242,28
920,2016,23791,2516,17,89800,251,28
920,2016,14287,2354,8,58517,252,28
920,2016,20588,2667,4,80547,254,28
920,2016,0,0,1,0,260,28
930,2016,798915,114735,7662,3371593,001,28
930,2016,49889,6837,3846,266365,212,28
930,2016,64764,9139,1391,268455,220,28
930,2016,103430,14887,1087,435180,230,28
930,2016,159310,25832,856,676483,241,28
930,2016,127573,21237,309,536205,242,28
930,2016,157663,20863,144,624214,251,28
930,2016,66308,7108,22,274264,252,28
930,2016,24802,2999,4,100170,254,28
930,2016,45176,5833,3,190257,260,28
932,2016,772871,94502,5988,3160519,001,28
932,2016,38341,6704,3238,163966,212,28
932,2016,51678,8215,1266,207288,220,28
932,2016,62854,9605,703,252353,230,28
932,2016,101245,14958,497,414369,241,28
932,2016,96535,12838,187,396325,242,28
932,2016,103488,9859,64,390075,251,28
932,2016,47901,4730,15,200935,252,28
933,2016,0,0,1,0,212,28
932,2016,66075,7875,10,270143,254,28
932,2016,204754,19718,8,865065,260,28
933,2016,458117,34433,36,1905833,001,28
933,2016,0,0,0,0,220,28
933,2016,0,0,0,0,230,28
933,2016,0,0,0,0,241,28
933,2016,0,0,1,0,242,28
933,2016,20351,2105,12,84636,251,28
933,2016,27650,2797,8,112633,252,28
933,2016,36427,2852,4,147855,254,28
933,2016,372938,26601,10,1557840,260,28
942,2016,62005,4510,137,253956,001,28
942,2016,1373,87,42,5025,212,28
942,2016,5398,259,40,20431,220,28
942,2016,6187,434,31,25156,230,28
942,2016,6713,542,18,28913,241,28
942,2016,0,0,2,0,242,28
942,2016,0,0,2,0,251,28
942,2016,0,0,1,0,252,28
942,2016,0,0,0,0,254,28
942,2016,0,0,1,0,260,28
001,2016,27324843,2494720,160912,112072115,001,29
001,2016,1186020,147079,90988,5725447,212,29
001,2016,1564111,184194,27673,6716161,220,29
001,2016,2223515,260369,19264,9573896,230,29
001,2016,3880540,436207,14466,16555369,241,29
001,2016,3121601,330390,4835,13019652,242,29
001,2016,4306322,384957,2555,17434338,251,29
001,2016,3367344,257739,750,13505767,252,29
001,2016,2202440,162941,236,8586485,254,29
001,2016,5472950,330844,145,20955000,260,29
910,2016,14889953,1088062,39748,57567843,001,29
910,2016,371181,28428,14646,1671860,212,29
910,2016,597591,58632,8676,2492677,220,29
910,2016,945651,95561,7043,3989238,230,29
910,2016,1803669,167441,5565,7521661,241,29
910,2016,1487968,128985,1868,5994635,242,29
910,2016,3422698,156631,73,11752071,260,29
910,2016,2517155,196659,1270,9881892,251,29
910,2016,2273656,162264,471,8817608,252,29
