LFO,YEAR,PAYQTR1,EMP,GEO_ID,ESTAB,PAYANN,EMPSZES,state
001,2017,8736923,939485,0400000US28,59294,35366718,001,28
001,2017,464883,54686,0400000US28,29629,2144622,210,28
001,2017,663204,83999,0400000US28,12705,2722937,220,28
001,2017,907261,111465,0400000US28,8333,3702121,230,28
001,2017,1348693,168553,0400000US28,5569,5536516,241,28
001,2017,1020544,121343,0400000US28,1783,4134644,242,28
001,2017,1239454,127505,0400000US28,862,4926982,251,28
001,2017,887376,88488,0400000US28,261,3529171,252,28
001,2017,755662,72690,0400000US28,105,3061421,254,28
001,2017,1449846,110756,0400000US28,47,5608304,260,28
9101,2017,4342147,410017,0400000US28,16513,17425013,001,28
9101,2017,145509,11844,0400000US28,5794,631444,210,28
9101,2017,258273,28419,0400000US28,4252,1047899,220,28
9101,2017,383325,40403,0400000US28,3046,1528063,230,28
9101,2017,615025,61102,0400000US28,2010,2489724,241,28
9101,2017,483064,48509,0400000US28,708,1952716,242,28
9101,2017,689176,66793,0400000US28,442,2729810,251,28
9101,2017,600989,57390,0400000US28,169,2381252,252,28
9101,2017,547904,47891,0400000US28,70,2235307,254,28
9101,2017,618882,47666,0400000US28,22,2428798,260,28
9111,2017,1864863,236934,0400000US28,21259,7736009,001,28
9111,2017,174236,19799,0400000US28,11167,827204,210,28
9111,2017,239454,30230,0400000US28,4552,1002384,220,28
9111,2017,308166,39025,0400000US28,2916,1298028,230,28
9111,2017,399092,55129,0400000US28,1857,1694035,241,28
9111,2017,262419,35692,0400000US28,528,1078505,242,28
9111,2017,230825,26734,0400000US28,189,944908,251,28
9111,2017,90555,11150,0400000US28,32,363287,252,28
9111,2017,48656,8799,0400000US28,13,184980,254,28
9111,2017,111460,10376,0400000US28,5,342678,260,28
920,2017,246064,38922,0400000US28,7437,1017382,001,28
920,2017,49887,9309,0400000US28,5466,229548,210,28
920,2017,41982,7682,0400000US28,1207,170586,220,28
920,2017,33948,6217,0400000US28,480,134854,230,28
920,2017,40933,6268,0400000US28,212,161171,241,28
920,2017,30808,3362,0400000US28,50,123639,242,28
920,2017,18909,2520,0400000US28,16,79629,251,28
920,2017,6332,839,0400000US28,3,25102,252,28
930,2017,860349,120254,0400000US28,7809,3542725,001,28
930,2017,53347,6938,0400000US28,3837,282175,210,28
930,2017,66915,9098,0400000US28,1374,276431,220,28
930,2017,110648,15590,0400000US28,1141,458547,230,28
930,2017,182468,29620,0400000US28,968,750815,241,28
930,2017,143269,22316,0400000US28,328,574508,242,28
930,2017,149703,17726,0400000US28,123,589590,251,28
930,2017,78678,9743,0400000US28,30,311139,252,28
930,2017,26851,3259,0400000US28,5,108876,254,28
932,2017,52809,8245,0400000US28,1271,212305,220,28
930,2017,48470,5964,0400000US28,3,190644,260,28
932,2017,845465,94617,0400000US28,6039,3354822,001,28
932,2017,40183,6647,0400000US28,3273,166394,210,28
932,2017,66959,9819,0400000US28,719,265452,230,28
932,2017,108303,15987,0400000US28,509,428293,241,28
932,2017,95094,11018,0400000US28,163,379163,242,28
932,2017,119671,10470,0400000US28,69,458423,251,28
932,2017,74317,6056,0400000US28,18,297586,252,28
932,2017,58621,6648,0400000US28,9,234952,254,28
932,2017,229508,19727,0400000US28,8,912254,260,28
933,2017,511869,33077,0400000US28,36,2020085,001,28
933,2017,22451,2189,0400000US28,14,90092,251,28
933,2017,30759,2917,0400000US28,8,124538,252,28
933,2017,61047,4709,0400000US28,6,250532,254,28
933,2017,397606,23259,0400000US28,7,1554893,260,28
942,2017,66166,5664,0400000US28,201,270682,001,28
942,2017,1715,146,0400000US28,91,7827,210,28
942,2017,5890,446,0400000US28,6,26113,242,28
942,2017,3771,325,0400000US28,49,13332,220,28
942,2017,4215,411,0400000US28,31,17177,230,28
942,2017,2872,447,0400000US28,13,12478,241,28
942,2017,8719,1073,0400000US28,9,34530,251,28
001,2017,2327847,263633,0400000US29,19504,9707031,230,29
001,2017,29452907,2517204,0400000US29,150882,116773811,001,29
001,2017,1249902,136800,0400000US29,80520,5937784,210,29
001,2017,1637752,183957,0400000US29,27682,6859861,220,29
001,2017,4166883,441203,0400000US29,14591,17087195,241,29
001,2017,3323609,331842,0400000US29,4862,13308736,242,29
001,2017,4643539,384017,0400000US29,2565,17997441,251,29
001,2017,3757008,268277,0400000US29,785,14563796,252,29
9101,2017,390183,27645,0400000US29,14218,1679564,210,29
001,2017,2351418,156715,0400000US29,225,8868435,254,29
001,2017,5994949,350760,0400000US29,148,22443532,260,29
9101,2017,15886332,1084902,0400000US29,38686,59529970,001,29
9101,2017,614322,56863,0400000US29,8466,2509815,220,29
9101,2017,960942,93140,0400000US29,6835,3928185,230,29
9101,2017,1919755,162847,0400000US29,5359,7600777,241,29
9101,2017,1595445,126796,0400000US29,1846,6152061,242,29
9101,2017,2767327,195854,0400000US29,1279,10438782,251,29
9101,2017,2402186,162858,0400000US29,478,9022436,252,29
9101,2017,1609468,90303,0400000US29,130,5792641,254,29
9101,2017,3626704,168596,0400000US29,75,12405709,260,29
9111,2017,6181149,674365,0400000US29,57106,26487896,001,29
9111,2017,470413,53002,0400000US29,31322,2386278,210,29
9111,2017,639174,72594,0400000US29,10921,2766475,220,29
9111,2017,838652,98848,0400000US29,7334,3609819,230,29
9111,2017,1331866,155331,0400000US29,5136,5755140,241,29
9111,2017,962626,110890,0400000US29,1628,4003607,242,29
9111,2017,895477,86900,0400000US29,601,3610186,251,29
9111,2017,475089,36736,0400000US29,110,2008440,252,29
9111,2017,277114,27795,0400000US29,39,1125432,254,29
9111,2017,290738,32269,0400000US29,15,1222519,260,29
920,2017,604360,96805,0400000US29,23292,2547654,001,29
920,2017,130923,27215,0400000US29,19114,629051,210,29
920,2017,90115,16005,0400000US29,2479,365941,220,29
920,2017,74815,13298,0400000US29,1001,301703,230,29
920,2017,88609,14969,0400000US29,505,353216,241,29
920,2017,54704,9085,0400000US29,133,214842,242,29
930,2017,150296,15796,0400000US29,9177,755721,210,29
920,2017,56839,6128,0400000US29,41,227540,251,29
920,2017,64833,5727,0400000US29,17,271182,252,29
930,2017,2436268,258203,0400000US29,17643,10031445,001,29
930,2017,147455,19817,0400000US29,2971,617760,220,29
930,2017,234814,32383,0400000US29,2393,975094,230,29
930,2017,451419,62455,0400000US29,2104,1837221,241,29
930,2017,126429,8837,0400000US29,13,553045,254,29
930,2017,351746,41322,0400000US29,621,1436287,242,29
930,2017,450417,43833,0400000US29,296,1801352,251,29
930,2017,376954,22174,0400000US29,64,1445388,252,29
930,2017,146738,11586,0400000US29,4,609577,260,29
932,2017,3756757,360777,0400000US29,13521,15713154,001,29
932,2017,103116,12688,0400000US29,6487,467710,210,29
932,2017,137545,17548,0400000US29,2672,560048,220,29
932,2017,203604,24423,0400000US29,1821,830989,230,29
932,2017,351356,43489,0400000US29,1415,1442448,241,29
932,2017,351901,42925,0400000US29,622,1472202,242,29
932,2017,437440,48051,0400000US29,329,1772255,251,29
932,2017,364039,34662,0400000US29,98,1512116,252,29
932,2017,250103,22660,0400000US29,34,1025880,254,29
932,2017,1557653,114331,0400000US29,43,6629506,260,29
933,2017,483425,33050,0400000US29,47,2023588,001,29
933,2017,20708,2201,0400000US29,12,85419,251,29
933,2017,53653,4712,0400000US29,14,224743,252,29
933,2017,66901,5423,0400000US29,7,274195,254,29
933,2017,340661,20524,0400000US29,10,1432625,260,29
942,2017,104616,9102,0400000US29,587,440104,001,29
942,2017,23878,2112,0400000US29,72,98393,241,29
942,2017,4969,452,0400000US29,201,19455,210,29
942,2017,9141,1130,0400000US29,173,39822,220,29
942,2017,14893,1529,0400000US29,119,60741,230,29
942,2017,5814,648,0400000US29,10,23636,242,29
942,2017,15331,1050,0400000US29,7,61907,251,29
942,2017,20254,1408,0400000US29,4,79491,252,29
001,2017,505596,60628,0400000US30,4516,2149907,230,30
001,2017,3546118,376565,0400000US30,38192,14773193,001,30
001,2017,292375,35830,0400000US30,22968,1498517,210,30
001,2017,359922,45475,0400000US30,6890,1539612,220,30
001,2017,691611,79018,0400000US30,2664,2898349,241,30
001,2017,459348,51612,0400000US30,759,1871814,242,30
001,2017,498426,44539,0400000US30,307,1964614,251,30
001,2017,307295,20976,0400000US30,65,1143139,252,30
001,2017,90639,7313,0400000US30,11,351264,254,30
001,2017,340906,31174,0400000US30,12,1355977,260,30
9101,2017,1384793,117722,0400000US30,6257,5418354,001,30
9101,2017,69576,5062,0400000US30,2727,302424,210,30
9101,2017,95858,8693,0400000US30,1294,388253,220,30
9101,2017,166177,14337,0400000US30,1060,678300,230,30
9101,2017,255650,21668,0400000US30,721,1032578,241,30
9101,2017,223752,19703,0400000US30,284,887058,242,30
9101,2017,242426,18345,0400000US30,128,891734,251,30
9101,2017,194605,12204,0400000US30,37,713063,252,30
9101,2017,43891,2773,0400000US30,4,164302,254,30
9111,2017,1063648,136079,0400000US30,19883,4810676,001,30
9111,2017,145887,18614,0400000US30,12577,806938,210,30
9111,2017,183805,23852,0400000US30,3624,814735,220,30
9111,2017,225370,29561,0400000US30,2206,998044,230,30
9111,2017,254675,33533,0400000US30,1143,1110125,241,30
9111,2017,119532,16181,0400000US30,247,515776,242,30
9111,2017,111711,11556,0400000US30,80,494058,251,30
9111,2017,12671,1313,0400000US30,5,39897,252,30
920,2017,71980,14129,0400000US30,4210,330367,001,30
920,2017,22870,4934,0400000US30,3408,116059,210,30
920,2017,5980,1126,0400000US30,16,25788,242,30
920,2017,15874,3341,0400000US30,528,69483,220,30
920,2017,12110,2306,0400000US30,181,48485,230,30
920,2017,10963,2052,0400000US30,74,46885,241,30
920,2017,4183,370,0400000US30,3,23667,251,30
930,2017,296732,39269,0400000US30,4041,1266248,001,30
930,2017,27598,3637,0400000US30,2369,158561,210,30
930,2017,30201,4558,0400000US30,692,129605,220,30
930,2017,43176,6369,0400000US30,467,185152,230,30
930,2017,78976,11131,0400000US30,378,336081,241,30
930,2017,47763,6680,0400000US30,96,188975,242,30
930,2017,41779,4973,0400000US30,35,162799,251,30
930,2017,13321,1001,0400000US30,3,52215,252,30
932,2017,642686,63440,0400000US30,3556,2608524,001,30
932,2017,24707,3429,0400000US30,1818,107595,210,30
932,2017,29985,4543,0400000US30,681,119368,220,30
932,2017,51569,7291,0400000US30,544,208256,230,30
932,2017,83117,9636,0400000US30,317,338885,241,30
932,2017,57610,7377,0400000US30,108,234847,242,30
932,2017,88886,8591,0400000US30,57,349037,251,30
932,2017,65499,5834,0400000US30,18,275063,252,30
932,2017,25557,3039,0400000US30,5,98940,254,30
932,2017,215756,13700,0400000US30,8,876533,260,30
933,2017,49980,2707,0400000US30,17,185160,001,30
933,2017,1300,181,0400000US30,5,5319,241,30
942,2017,4018,480,0400000US30,70,17443,220,30
933,2017,3741,380,0400000US30,5,14958,242,30
942,2017,36299,3219,0400000US30,228,153864,001,30
942,2017,1737,154,0400000US30,69,6940,210,30
942,2017,6962,736,0400000US30,56,30639,230,30
942,2017,6930,817,0400000US30,26,28476,241,30
942,2017,970,165,0400000US30,3,4412,242,30
942,2017,6335,480,0400000US30,3,25230,251,30
001,2017,823308,95301,0400000US31,7059,3476057,230,31
001,2017,9020018,833472,0400000US31,54954,36415429,001,31
001,2017,451207,50642,0400000US31,29909,2108902,210,31
001,2017,589079,68207,0400000US31,10264,2506216,220,31
001,2017,1352699,149527,0400000US31,5027,5621423,241,31
001,2017,1001145,100417,0400000US31,1483,4117847,242,31
001,2017,1386689,122082,0400000US31,828,5600737,251,31
001,2017,1043739,82236,0400000US31,236,4043592,252,31
001,2017,946949,63853,0400000US31,96,3450964,254,31
001,2017,1425203,101207,0400000US31,52,5489691,260,31
9101,2017,4567005,350783,0400000US31,12359,17629975,001,31
9101,2017,121049,8692,0400000US31,4517,481111,210,31
9101,2017,523604,43665,0400000US31,631,2111145,242,31
9101,2017,193670,18139,0400000US31,2689,794032,220,31
9101,2017,324935,30465,0400000US31,2250,1332371,230,31
9101,2017,551379,49640,0400000US31,1665,2253576,241,31
9101,2017,728927,56926,0400000US31,378,2883906,251,31
9101,2017,696467,51570,0400000US31,146,2627970,252,31
9101,2017,597780,38041,0400000US31,57,2074711,254,31
9101,2017,829194,53645,0400000US31,26,3071153,260,31
9111,2017,2185039,243485,0400000US31,25464,9465236,001,31
9111,2017,205204,24464,0400000US31,15019,1024997,210,31
9111,2017,260114,31202,0400000US31,4714,1152180,220,31
9111,2017,327944,40801,0400000US31,3030,1427192,230,31
9111,2017,495873,59226,0400000US31,1992,2121298,241,31
9111,2017,262990,30073,0400000US31,454,1136296,242,31
9111,2017,336118,30380,0400000US31,205,1371011,251,31
9111,2017,122898,11336,0400000US31,33,503852,252,31
9111,2017,94787,8097,0400000US31,12,394088,254,31
9111,2017,79111,7906,0400000US31,5,334322,260,31
920,2017,21602,3637,0400000US31,277,90145,230,31
920,2017,206576,27545,0400000US31,6040,800414,001,31
920,2017,38322,7250,0400000US31,4780,178825,210,31
920,2017,27173,4996,0400000US31,769,112459,220,31
920,2017,27775,4243,0400000US31,148,109341,241,31
920,2017,24526,3353,0400000US31,48,90866,242,31
920,2017,17971,1805,0400000US31,14,74492,251,31
920,2017,9897,1007,0400000US31,3,41362,252,31
930,2017,627289,76204,0400000US31,5583,2618596,001,31
930,2017,48360,4940,0400000US31,2886,234169,210,31
930,2017,54427,6729,0400000US31,1007,223091,220,31
930,2017,71038,10690,0400000US31,779,301651,230,31
930,2017,137841,19728,0400000US31,665,565254,241,31
930,2017,78316,9400,0400000US31,147,318184,242,31
