LFO,YEAR,PAYQTR1,EMP,GEO_ID,ESTAB,PAYANN,EMPSZES,state
001,2013,30299490,2518268,0400000US27,146354,120890874,001,27
001,2013,1071243,127314,0400000US27,79294,5646983,212,27
001,2013,1426557,173173,0400000US27,25873,6201489,220,27
001,2013,2198684,265293,0400000US27,19656,9462792,230,27
001,2013,3671758,390794,0400000US27,12972,15468299,241,27
001,2013,3422481,322118,0400000US27,4657,13979510,242,27
001,2013,4601942,410668,0400000US27,2718,18357283,251,27
001,2013,3478279,250874,0400000US27,740,13552690,252,27
001,2013,3107054,185487,0400000US27,270,11634057,254,27
001,2013,7321492,392547,0400000US27,174,26587771,260,27
910,2013,16671227,1055938,0400000US27,34776,63367464,001,27
910,2013,306937,24097,0400000US27,13489,1455206,212,27
910,2013,495582,46911,0400000US27,6928,2067479,220,27
910,2013,866498,85922,0400000US27,6327,3652428,230,27
910,2013,1581459,132479,0400000US27,4383,6524856,241,27
910,2013,1651799,123585,0400000US27,1761,6562122,242,27
910,2013,2530406,188160,0400000US27,1227,9978602,251,27
910,2013,2282274,138173,0400000US27,406,8611389,252,27
910,2013,2105385,111035,0400000US27,164,7891842,254,27
910,2013,4850887,205576,0400000US27,91,16623540,260,27
9111,2013,6266047,728816,0400000US27,69765,27806397,001,27
9111,2013,510760,63624,0400000US27,41627,2898777,212,27
9111,2013,631567,79080,0400000US27,11882,2885523,220,27
9111,2013,873909,113047,0400000US27,8388,3896322,230,27
9111,2013,1290585,158514,0400000US27,5311,5741764,241,27
9111,2013,1009823,111703,0400000US27,1640,4376836,242,27
9111,2013,954200,107146,0400000US27,725,4020540,251,27
9111,2013,477787,47315,0400000US27,144,1943150,252,27
9111,2013,245718,23636,0400000US27,33,960999,254,27
9111,2013,271698,24751,0400000US27,15,1082486,260,27
920,2013,509961,71149,0400000US27,14087,2169089,001,27
920,2013,74867,16012,0400000US27,11351,384831,212,27
920,2013,49789,10784,0400000US27,1665,211198,220,27
920,2013,35542,8570,0400000US27,663,148833,230,27
920,2013,38189,6494,0400000US27,223,151725,241,27
920,2013,60746,8607,0400000US27,121,243674,242,27
920,2013,75399,8983,0400000US27,53,295735,251,27
920,2013,25053,2093,0400000US27,7,95865,252,27
920,2013,0,0,0400000US27,0,0,254,27
920,2013,150376,9606,0400000US27,4,637228,260,27
930,2013,1993480,185386,0400000US27,12280,8146844,001,27
930,2013,96116,10446,0400000US27,6395,543281,212,27
930,2013,114432,14207,0400000US27,2137,482360,220,27
930,2013,179771,22046,0400000US27,1628,762443,230,27
930,2013,368423,41495,0400000US27,1356,1429187,241,27
930,2013,330920,33674,0400000US27,491,1299782,242,27
930,2013,416529,30541,0400000US27,213,1532715,251,27
930,2013,212099,14587,0400000US27,41,979466,252,27
930,2013,155325,8139,0400000US27,13,602398,254,27
930,2013,119865,10251,0400000US27,6,515212,260,27
932,2013,4161125,421336,0400000US27,14274,16800291,001,27
932,2013,71925,12454,0400000US27,6150,314338,212,27
932,2013,118396,20015,0400000US27,2953,481887,220,27
932,2013,208873,31825,0400000US27,2368,847833,230,27
932,2013,344251,47211,0400000US27,1551,1414754,241,27
932,2013,318037,40303,0400000US27,584,1291996,242,27
932,2013,533776,66592,0400000US27,444,2152759,251,27
932,2013,414114,42182,0400000US27,124,1665136,252,27
932,2013,461483,35476,0400000US27,51,1749172,254,27
932,2013,1690270,125278,0400000US27,49,6882416,260,27
933,2013,302234,31670,0400000US27,275,1188190,001,27
933,2013,362,0,0400000US27,23,1650,212,27
933,2013,3117,746,0400000US27,106,12855,220,27
933,2013,4074,987,0400000US27,77,17006,230,27
933,2013,2116,432,0400000US27,15,9001,241,27
933,2013,0,0,0400000US27,2,0,242,27
933,2013,40349,4499,0400000US27,26,168947,251,27
933,2013,39302,4506,0400000US27,12,136275,252,27
933,2013,44986,4994,0400000US27,6,184571,254,27
933,2013,166640,15297,0400000US27,8,653021,260,27
942,2013,395416,23973,0400000US27,897,1412599,001,27
942,2013,10276,609,0400000US27,259,48900,212,27
942,2013,13674,1430,0400000US27,202,60187,220,27
942,2013,30017,2896,0400000US27,205,137927,230,27
942,2013,46735,4169,0400000US27,133,197012,241,27
942,2013,49868,4109,0400000US27,58,200236,242,27
942,2013,51283,4747,0400000US27,30,207985,251,27
942,2013,0,0,0400000US27,6,0,252,27
942,2013,0,0,0400000US27,3,0,254,27
942,2013,0,0,0400000US27,1,0,260,27
001,2013,7660942,902638,0400000US28,58435,31697424,001,28
001,2013,414194,56129,0400000US28,29542,1921334,212,28
001,2013,593247,84408,0400000US28,12831,2469966,220,28
001,2013,795242,105704,0400000US28,7904,3302379,230,28
001,2013,1189953,156268,0400000US28,5233,4911988,241,28
001,2013,912996,115883,0400000US28,1687,3813886,242,28
001,2013,1128144,127448,0400000US28,858,4535297,251,28
001,2013,770628,81801,0400000US28,238,3069167,252,28
001,2013,528479,58799,0400000US28,86,2108426,254,28
001,2013,1328059,116198,0400000US28,56,5564981,260,28
910,2013,4012524,414868,0400000US28,18410,16433240,001,28
910,2013,137359,13392,0400000US28,6651,617537,212,28
910,2013,259664,32151,0400000US28,4880,1057813,220,28
